System,link0_X,link0_Y,link0_Z,Linked system 1,link1_X,link1_Y,link1_Z,Linked system 2,link2_X,link2_Y,link2_Z,Points to system,target_X,target_Y,target_Z,Related discovery,Canonn,Other,Notes,Solved?
42 N Persei,-83.5625,-73.40625,-244.34375,,,,,,,,,HIP 21478,-35.4375,-63.625,-280.125,Survey Vessel Pandora,https://canonn.science/codex/survey-vessel-pandora/,,,yes
5 Chi Lupi,61.3125,51.40625,178.0,Ruka,30.71875,42.03125,163.375,Scorpii Sector IR-W c1-35,61.15625,13.34375,155.84375,HR 5991,56.09375,33.21875,166.375,Research Facility 5592,https://canonn.science/codex/research-facility-5592/,,,yes
58 Eridani,20.78125,-24.40625,-29.15625,,,,,,,,,LP 892-51,45.875,-32.21875,-33.40625,Megaship Nemb,https://canonn.science/codex/nemb/,,,yes
Achenar,67.5,-119.46875,24.84375,,,,,,,,,,,,,Pilots' Memorial: Achenar,,https://forums.frontier.co.uk/threads/elite-dangerous-in-game-memorials.566260/,,yes
Aiabiko,-82.0625,1.625,-14.4375,,,,,,,,,,,,,Joy Senne Ice Beacon,,https://community.elitedangerous.com/galnet/30-SEP-3308,"Scanning the LP will give 3 audio messages and unlock a xeno-affirmative ship nameplate set and decal, as mentioned in a Galnet post.",yes
Alacarakmo,-32.40625,169.53125,-49.4375,,,,,,,,,,,,,Distress Call: Diamond Bear,,https://forums.frontier.co.uk/threads/buckyball-racing-club.193467/page-131#post-8634982,"Diamond Bear Log 1/1 - Related to the Buckyball Racing Club, supposedly part of a series of LPs but no other LPs have been found.",probably
Alioth,-33.65625,72.46875,-20.65625,,,,,,,,,,,,,Pilots' Memorial: Alioth,,https://forums.frontier.co.uk/threads/elite-dangerous-in-game-memorials.566260/,,yes
Alpha Centauri,3.03125,-0.09375,3.15625,George Pantazis,-12.09375,-16.0,-14.21875,,,,,Wise 0855-0714,6.53125,-2.15625,2.03125,,https://canonn.science/codex/unsolved-alvin-deefer/,,Mystery of Alvin Deefer and his ship the Shady Lady,no
Alrai Sector WZ-P b5-6,-38.625,-3.25,122.21875,,,,,,,,,Ross 859,-31.8125,15.9375,162.125,Generation Ship Odysseus,https://canonn.science/codex/generation-ship-odysseus/,,,yes
Asellus Primus,-23.9375,40.875,-1.34375,,,,,,,,,,,,,Pilots' Memorial: Asellus Primus,,https://forums.frontier.co.uk/threads/elite-dangerous-in-game-memorials.566260/,,yes
Batar,97.78125,99.34375,-81.65625,Chipi,119.03125,95.46875,-62.59375,Waikiri,92.75,136.5,-23.90625,Koli Discii,108.84375,83.53125,-58.71875,Koli Discii Crashed Ship,https://canonn.science/codex/koli-discii-crashed-ship/,,Latitude and longitude appear to be inverted and the star “C” is missing in the messages,yes
Belispel,-120.59375,-1.5,-57.875,Col 285 Sector GI-H b11-6,-171.75,-5.40625,-115.09375,Pegasi Sector TT-X a2-2,-142.625,-42.21875,-94.4375,Col 285 Sector UZ-O c6-9,-144.21875,-12.25,-87.71875,Orion’s Folly,https://canonn.science/codex/orions-folly/,,,yes
Bhadaba,-18.96875,-19.40625,-49.78125,HIP 16378,-118.75,-155.375,-354.875,,,,,HIP 16378,-118.75,-155.375,-354.875,Survey Vessel Stargazer,https://canonn.science/codex/survey-vessel-stargazer/,,Crashed ship logs further points to Thargoid Structure on HIP 17694 B 7 f,yes
Bilfrost,-10.28125,100.90625,-0.65625,,,,,,,,,Virudnir,-12.78125,143.28125,-66.125,Generation Ship Lazarus Expedition,https://canonn.science/codex/lazarus-expedition/,,,yes
Celaeno,-81.09375,-148.3125,-337.09375,,,,,,,,,Electra,-86.0625,-159.9375,-361.65625,Hogan Class Bulk Cargo Ship PTK-179,https://canonn.science/codex/hogan-class-bulk-cargo-ship-ptk-179/,,"LP msg used to link to HIP 17862, but has been changed to Electra. Ship details do not match msg, ship link doesn't give a msg.",probably
Cerritics,1.0,43.03125,-163.53125,Hun Nu,-76.03125,50.1875,-110.28125,,,,,HIP 32001,-59.90625,58.78125,-125.96875,Ariane’s Pride,https://canonn.science/codex/arianes-pride/,https://forums.frontier.co.uk/threads/new-listening-post-and-crash-site.466925/,Points to crashed T9 found in HIP 32001 3 a,yes
Col 285 Sector AV-M b21-5,138.84375,-131.4375,98.65625,,,,,,,,,Coelachi,178.25,-173.6875,109.8125,Generation Ship Phobos,https://canonn.science/codex/generation-ship-phobos/,,,yes
Col 285 Sector AX-S a33-0,-43.8125,7.21875,327.46196,Col 285 Sector SF-N c7-2,-12.1875,-35.34375,350.53067,Col 285 Sector UB-T a33-4,-27.5625,13.15625,364.96764,Col 285 Sector NP-W a31-3,-347.5,-27.8125,-5.625,Extraction Site HS-98,https://canonn.science/codex/extraction-site-hs-98/,https://www.youtube.com/watch?v=nA7gsZexgeI,,yes
Col 285 Sector AZ-B b15-0,-263.28125,165.5,-27.75,Col 285 Sector PH-E b14-2,-283.28125,217.3125,-46.78125,HR 6348,-267.53125,199.6875,0.21875,Aldhibah,-267.53125,188.5625,-27.8125,Lookout Military Test Facility,https://canonn.science/codex/lookout-military-test-facility/,,,yes
Col 285 Sector CI-V b18-0,55.375,198.53125,40.4375,HIP 63386,84.71875,288.25,71.5,Mel 111 Sector BL-O b6-0,54.5625,282.40625,5.46875,34 Virginis,61.75,261.75,37.65625,Abandoned SRV,https://canonn.science/codex/34-virginis-abandoned-srv/,,,yes
Col 285 Sector DY-F b25-0,-78.28125,-115.6875,187.46875,Col 285 Sector YF-O d6-99,-172.03125,-101.21875,142.0,HIP 97380,-154.625,-46.78125,303.75,Alshat,-119.375,-111.125,193.71875,Expedition Vessel Odysseus,https://canonn.science/codex/expedition-vessel-odysseus/,,"Points to a derelict Anaconda, an SRV is 247km away and Clarke's Rest is 162km away.",yes
Col 285 Sector EC-J c10-4,119.9375,237.40625,67.03125,Col 285 Sector IZ-R b20-2,63.59375,227.6875,82.75,Col 285 Sector KD-H c11-3,124.1875,175.15625,101.125,44 k Virginis,103.9375,217.15625,81.5625,Abandoned SRV,https://canonn.science/codex/44-k-virginis-abandoned-srv/,,,yes
Col 285 Sector EC-U d3-59,-305.09375,186.59375,-73.65625,Col 285 Sector EF-A b16-1,-260.59375,155.15625,-21.15625,Col 285 Sector LO-P c6-1,-251.875,119.15625,-90.5,Col 285 Sector MZ-N c7-13,-276.5625,155.90625,-57.78125,Botanical Research Station FNA-559,https://canonn.science/codex/botanical-research-station-fna-559/,https://imgur.com/a/Ijv3wc5,,yes
Col 285 Sector ER-V d2-46,-213.8125,81.9375,-127.21875,HIP 12959,-245.84375,83.4375,-208.8125,Col 285 Sector GM-V d2-72,-221.53125,20.53125,-159.15625,Col 285 Sector OP-L b9-0,-224.875,60.375,-163.875,Unnamed Crash Site,https://canonn.science/codex/col-285-sector-op-l-b9-0-unnamed-crash-site/,,The crash site seems to have been removed,yes
Col 285 Sector FG-X d1-49,90.15625,40.75,-211.375,Hyades Sector EB-X d1-59,78.59375,45.0,-153.875,Hyades Sector IR-U b3-5,73.9375,-16.96875,-185.96875,HR 2551,88.71875,16.59375,-182.09375,Dixon Dock,https://canonn.science/codex/dixon-dock/,,,yes
Col 285 Sector FW-D c12-24,147.90625,-107.0625,155.3125,Synuefe DP-J b56-5,196.78125,-96.1875,153.84375,Synuefe KM-E b59-10,143.96875,-83.78125,210.0,Synuefe JB-G b58-6,168.125,-98.125,177.3125,Exploration Camp C-NO4,https://canonn.science/codex/exploration-camp-c-no4/,,,yes
Col 285 Sector GN-H b11-0,-142.09375,-1.09375,-122.15625,Col 285 Sector MY-O b7-2,-128.78125,35.6875,-186.9375,Pic Tok,-81.46875,-22.875,-160.84375,Hyades Sector DR-V c2-23,-104.625,-0.8125,-151.90625,Dav’s Hope,https://canonn.science/codex/davs-hope/,,,yes
Col 285 Sector HG-F b27-0,-80.5625,179.1875,220.71875,Col 285 Sector JJ-F c12-10,-66.84375,180.71875,161.75,HIP 79256,-104.09375,185.375,174.78125,Col 285 Sector ZT-I b25-0,-80.84375,180.46875,181.53125,Planet Dave Outpost,https://canonn.science/codex/planet-dave-outpost/,,,yes
