name,pos_x,pos_y,pos_z,infos
Synuefe XE-Y c17-7,218.78125 , -102.4375 , -279.34375,Adamastor Departs from the listening post
HIP 39748, 173.40625,1.59375,-63.1875,Adamastor Original Waypoint
HIP 33386, 195.625, -36.65625 , -141.6875,Adamastor Original Waypoint
Musca Dark Region PJ-P B6-1, 432.625 , 2.53125 , 288.6875, Barnacle Site
Chukchan,142.65625 , 56.46875 , 40.34375, Adamastor Last Resting Place
AE Aurigae, -246.71875 , -54.6875 , -1857.40625, Barnards Loop
Mu Columbae,  1001.6875 , -598.625 ,-640.78125, Barnards Loop
53 Arietis, -196.84375 , -461.09375 , -664.0625 , Barnards Loop
Extention1,-48.78125,384.09375,	721.8125
Extention2,395.59375,	-380.90625,-848.1875
HIP 69200,170.96875 , 113.15625 , 207.15625, Dr Carver escapes in sidewinder and crashes
HIP 61595,146.71875 , 67.9375 , 86.8125
HIP 64011,148.59375 , 85.5625 , 111.625
HIP 65201,157.34375 , 86.375 , 131.40625
Route Intersection, 100 , 144 , 184,Approximate point at which the rouyte lines intersect 
Col 285 Sector LK-I b25-3,83.625,139.8125,180.375
Col 285 Sector JP-I b25-0,86,155.25,184.65625
Col 285 Sector TK-D c13-16,87.75,150.21875,183.6875
Col 285 Sector TK-D c13-11,90.46875,154.375,179
Col 285 Sector LK-I b25-5,91.4375,151.96875,184.875
HIP 70991,93.78125,154.75,186.5
HIP 70768,94.625,131.96875,169.8125
Col 285 Sector LK-I b25-4,94.625,151.25,184.75
Col 285 Sector OV-G b26-3,95.65625,156,198.9375
Col 285 Sector QQ-G b26-1,95.8125,137.8125,198.75
Col 285 Sector IE-K b24-1,98.875,148.96875,166.5625
Col 285 Sector WF-D c13-4,99.71875,133.84375,178.15625
Col 285 Sector WF-D c13-9,99.84375,131.03125,197.71875
Col 285 Sector QQ-G b26-0,99.84375,135.34375,200.75
Col 285 Sector UK-D c13-10,100.09375,146.96875,202
Col 285 Sector QQ-G b26-2,100.59375,141.78125,200.34375
Col 285 Sector OF-I b25-2,101.65625,134.15625,182.96875
Col 285 Sector YP-O d6-85,101.78125,127.1875,178.46875
Col 285 Sector WF-D c13-5,101.8125,132.71875,176.8125
Col 285 Sector MK-I b25-5,101.96875,144.21875,184.28125
Col 285 Sector QQ-G b26-3,102.84375,136.1875,196.59375
Col 285 Sector WF-D c13-3,103,131.09375,176.59375
Col 285 Sector UK-D c13-9,103.375,142.0625,199.03125
Col 285 Sector KZ-J b24-5,103.78125,133.3125,173.375
MW Virginis,104.65625,162.125,179.03125
HIP 70776,106.96875,149.46875,192.3125
Col 285 Sector MK-I b25-0,107.46875,150.96875,187.125
Col 285 Sector WU-O d6-68,108.59375,156.375,196.59375
Col 285 Sector MK-I b25-1,109.96875,148.34375,190.625
Col 285 Sector MK-I b25-4,111.25,135.21875,182.625
HIP 71019,112.03125,131.625,191.84375
HIP 69696,113.6875,145.09375,177.0625
Col 285 Sector MK-I b25-2,114.4375,141.59375,192.09375
Col 285 Sector MK-I b25-3,114.9375,137.90625,186.25
Col 285 Sector UK-D c13-11,116.5,147.96875,193.71875
Col 285 Sector NK-I b25-0,119.875,140.53125,179.25
