siteID,system,planet,status,locationLat,locationLon,msg1,msg2,msg3,timesReferenced,galacticX,galacticY,galacticZ,discoveredBy
TS1,HIP 19026,B 1 C,✘,-17.9575,-152.6994,X,X,X,1,-117.88,-65.125,-330.90625,
TS2,ARIES DARK REGION DB-X D1-63,A 7 A,✘,25.5553,78.1765,X,X,X,1,-119.63,-90.84375,-247.03125,
TS3,PLEIADES SECTOR OS-U C2-7,4 A,✘,58.4244,-177.0446,X,X,X,2,-68.72,-229.625,-325.6875,
TS4,COL 285 SECTOR CV-Y D57,AB 4 A,✘,4.7654,136.2398,X,X,X,2,-21.28,-76.34375,-288.15625,
TS5,HIP 14909,2 A,✔,-26.4561,-27.4742,TS6,TS8,TS7,4,-84.38,-259.28125,-358.65625,
TS6,MEL 22 SECTOR ZU-P C5-1,4 A,✔,-63.5266,8.0136,TS5,TS7,TS8,4,-75.44,-284.5,-361.8125,
TS7,MEL 22 SECTOR NX-U D2-27,5 A,✔,-39.7932,-56.254,TS9,TS8,TS6,4,-57.13,-274.71875,-373.6875,
TS8,MEL 22 SECTOR NX-U D2-31,3 A,✔,-51.7229,-110.0287,TS7,TS6,TS5,4,-64.41,-269.5625,-373.59375,
TS9,MEL 22 SECTOR YU-F B11-1,AB 5 A,✔,-52.0061,-5.6793,TS10,TS7,TS11,4,-33.97,-268.4375,-384.53125,
TS10,MEL 22 SECTOR UT-R C4-4,1 A,✔,16.2444,25.5284,TS9,TS11,TS12,3,-35.56,-260.03125,-390.625,
TS11,MEL 22 SECTOR UE-G B11-0,A 2,✔,-33.2026,141.7225,TS10,TS12,TS9,3,-39.50,-239.625,-380.625,
TS12,HIP 16985,A 4 E,✔,40.1213,-22.6073,TS11,TS14,TS13,3,-54.59,-242.15625,-401.5,
TS13,MEL 22 SECTOR KC-V D2-28,1 C,✔,-76.1261,113.2089,TS15,TS16,TS8,3,-78.44,-258.25,-404.0625,
TS14,MEL 22 SECTOR BV-P C5-2,1 A,✔,-21.9701,-113.2261,TS9,TS10,TS17,2,-11.00,-270.625,-363.21875,
TS15,MEL 22 SECTOR TT-R C4-2,3 A,✔,-27.3214,63.0988,TS12,TS16,TS13,2,-97.38,-255.21875,-419.78125,
TS16,MEL 22 SECTOR MX-U D2-14,AB 1 A,✔,-80.3925,-101.5264,TS6,TS13,TS15,2,-107.56,-280.25,-397.5,
TS17,MEL 22 SECTOR DG-O C6-0,2 A,✔,15.5126,-12.4966,TS14,TS19,TS18,3,5.69,-256.8125,-323.5625,
TS18,SYNUEFE MK-M D8-20,A 2 A,✔,-73.612,-35.184,TS22,TS19,TS21,3,2.53,-266.9375,-307.40625,
TS19,HIP 15443,AB 4 B,✔,71.5247,77.2894,TS20,TS18,TS22,3,-8.22,-259.78125,-284.78125,
TS20,HIP 14702,1 C,✘,-8.9048,-114.7065,X,X,X,2,-30.22,-228.84375,-254.1875,
TS21,PLEIADES SECTOR KM-W D1-40,B 10 A,✔,-35.5592,155.9887,TS30,TS3,TS39,2,-33.00,-211.9375,-327.75,
TS22,HIP 14746,6 A,✔,76.7687,176.001,TS19,TS18,TS23,2,-22.03,-276,-290.375,
TS23,SYNUEFE CW-V C18-6,A 3 A,✔,24.3052,-68.308,TS24,TS25,TS37,3,19.69,-223.625,-263.65625,
TS24,SYNUEFE YP-X C17-8,2 A,✘,54.6409,-124.5742,X,X,X,2,27.38,-219,-271.4375,
TS25,SYNUEFE OV-K D9-56,9 C,✔,-28.889,-89.2878,TS27,TS23,TS30,2,11.31,-208.5,-256.34375,
TS26,SYNUEFE RT-Z C16-13,1 A,✔,-50.1277,44.2171,TS34,TS28,TS31,2,56.94,-142.03125,-339.9375,
TS27,SYNUEFE YP-X C17-1,5 C,✔,48.3769,-53.768,TS24,TS25,TS37,3,32.25,-199.34375,-295.40625,
TS28,HIP 22851,7 A,✘,-68.884,-137.8088,X,X,X,1,44.72,-106.625,-313.21875,
TS29,PLEIADES SECTOR MC-V C2-0,1 A,✔,22.4386,121.0789,TS40,TS33,TS41,2,-5.13,-168.34375,-343.875,
TS30,HIP 18368,2 H,✔,-21.5287,-27.1165,TS32,TS45,TS33,3,0.25,-174.8125,-286.46875,
TS31,PLEIADES SECTOR MC-V C2-6,B 4 A,✔,25.7177,27.4909,TS29,TS33,TS34,2,6.84,-152.09375,-327.25,
TS32,ARIES DARK REGION JW-W C1-4,7 A,✘,50.3331,-124.31,X,X,X,2,-6.22,-195.53125,-269.71875,
TS33,PLEIADES SECTOR MC-V C2-8,8 B,✔,-31.861,-5.36,TS29,TS30,TS35,3,3.47,-159.59375,-313.84375,
TS34,SYNUEFE JU-M D8-50,5 A,✔,-37.8668,-66.3934,TS36,TS31,TS26,2,44.69,-149,-326.84375,
TS35,SYNUEFE UZ-X C17-12,AB 2 A,✘,39.897,-59.4823,X,X,X,1,45.41,-126.5,-288.34375,
TS36,HIP 20486,A 3 A,✔,-33.7172,-125.1209,TS37,TS27,TS38,1,59.78,-177.34375,-300.21875,
TS37,SYNUEFE UK-V B35-0,A 4 A,✔,-1.6378,124.6736,TS26,TS27,TS23,3,34.53,-201.53125,-290.59375,
TS38,SYNUEFE WU-X C17-8,2 A,✘,35.4633,131.5834,X,X,X,1,30.22,-171.0625,-287.34375,
TS39,HIP 16572,A 4 E,✘,39.1994,-29.609,X,X,X,2,-40.44,-194.5,-300.25,
TS40,HIP 20785,6 B,✔,-39.3011,-58.6453,TS42,TS43,TS44,2,-20.75,-106.3125,-318.34375,
TS41,SYNUEFE UZ-X C17-10,1 B,✘,31.7211,17.2641,X,X,X,1,46.06,-114.5,-293.6875,
TS42,HIP 16440,1 E,✔,-35.0118,-157.9024,TS4,TS54,TS53,2,-74.38,-133,-267.34375,
TS43,PLEIADES SECTOR KH-V C2-1,2 A,✘,11.4432,7.5901,X,X,X,1,-9.16,-115.78125,-307.96875,
TS44,PLEIADES SECTOR KH-V C2-3,3 A,✔,68.9625,92.9837,TS47,TS40,TS46,2,-23.19,-115.375,-339.6875,
TS45,HIP 19266,6 A,✔,7.8987,147.2701,TS17,TS48,TS49,2,45.25,-223.28125,-346.84375,
TS46,PLEIADES SECTOR IR-W D1-76,B 3 A,✔,-64.438,166.8112,TS52,TS56,TS44,2,-40.81,-124.5625,-325.375,
TS47,HIP 24007,1 B,✔,43.0054,-162.8492,TS50,TS57,TS51,2,-1.50,-52.90625,-347.46875,
TS48,HIP 20830,A 8 F,✔,42.7052,-162.4037,TS62,TS61,TS59,3,37.78,-181.21875,-384.09375,
TS49,MEL 22 SECTOR MC-V D2-19,BC 1 B,✔,-41.9785,-166.2575,TS45,TS17,TS55,1,31.56,-231.6875,-351.4375,
