Timestamp,Commander,System,Planet,Aerial Screenshot,Leviathans,Doors,Internal Doors,Device,Link System 1,Link System 2,Link System 3,Notes,Visibility,Blockages,Leviathan Count,,
17/12/2018 22:22:58,JohnTAss,HIP 17862,11 E,https://i.imgur.com/gYl7PRC.png,Small Reposing Leviathans,2,No,No,,,,,1,,1,,
17/12/2018 22:25:07,JohnTAss,HIP 17694,B 7 F,https://i.imgur.com/8PIKHUU.png,Small Reposing Leviathans,2,No,No,,,,,5,,2,,
17/12/2018 22:49:02,JohnTAss,Pleiades Sector OD-S b4-1,2 A,https://i.imgur.com/2bBcw7N.png,Large upright leviathans,3,No,Yes,,,,System link from thargoid machine overwritten by Eagle Eye (2 messages),1,,4,,
17/12/2018 23:21:06,JohnTAss,HIP 16704,5 A,https://i.imgur.com/OiC4oO2.jpg,Small Reposing Leviathans,3,No,Yes,,,,Eagle Eye overwrote messages,5,,4,,
17/12/2018 23:47:47,JohnTAss,Mel 22 Sector JC-V d2-14,A 4 A,https://i.imgur.com/ETPSWvO.png,Large upright leviathans,4,Yes,Yes,,,,Eagle Eye wrote over the original messages,1,,6,,
18/12/2018 00:09:26,JohnTAss,Mel 22 Sector JC-V d2-15,ABC 1 A,https://i.imgur.com/BhlGOqa.png,Large upright leviathans,4,Yes,Yes,MEL 22 SECTOR JC-V D2-14,MEL 22 SECTOR JC-V D2-41,MEL 22 SECTOR IO-G B11-1,In shadow of mountain,1,,6,,
18/12/2018 00:31:14,JohnTAss,Mel 22 Sector OY-R c4-5,2 A,https://i.imgur.com/waAh26z.png,Large upright leviathans,4,Yes,Yes,MEL 22 SECTOR IO-G B11-1,MEL 22 SECTOR JC-V D2-15,MEL 22 SECTOR JC-V D2-14,,1,,5,,
18/12/2018 00:52:53,JohnTAss,Mel 22 Sector IO-G b11-1,1 A,https://i.imgur.com/75GMkmL.png,Large upright leviathans,4,Yes,Yes,,,,Eagle Eye overwrote signals here too,1,,4,,
18/12/2018 01:23:10,JohnTAss,Mel 22 Sector JC-V d2-31,A 16 B,https://i.imgur.com/zgwCYSL.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote; in shadow of crater wall.,2,,6,,
18/12/2018 01:49:48,JohnTAss,Mel 22 Sector HH-V d2-37,AB 1 A,https://i.imgur.com/Ux9f5H0.png,Small Reposing Leviathans,4,Yes,Yes,,,,EE overwrote messages.,1,,3,,
18/12/2018 02:11:12,JohnTAss,Mel 22 Sector HH-V d2-53,1 B,https://i.imgur.com/smJKGoQ.png,Small Reposing Leviathans,3,No,Yes,TAURUS DARK REGION MY-R B4-1,MEL 22 SECTOR JX-T C3-9,TAURUS DARK REGION CL-Y D53,,4,,4,,
18/12/2018 16:23:46,Rufus Nightjar,HIP 17862,11 E,https://i.imgur.com/ulDQD34.jpg,,0,,No,,,,,3,,1,,
18/12/2018 17:34:47,Rufus Nightjar,HIP 17694,B 7 F,,,2,,No,,,,,3,,2,,
18/12/2018 20:22:15,JohnTAss,Mel 22 Sector FH-U c3-9,A 1 A,https://i.imgur.com/ljWb7ry.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote; alsdo inside doors didnt load until I got the Link. probably a bug.,2,,6,,
18/12/2018 20:40:47,JohnTAss,Taurus Dark Region MY-R b4-1,1 B,https://i.imgur.com/lvSgMht.png,Large upright leviathans,4,Yes,Yes,MEL 22 SECTOR HH-V D2-53,MEL 22 SECTOR FH-U C3-9,TAURUS DARK REGION CL-Y D53,,3,,5,,
18/12/2018 20:58:14,JohnTAss,Taurus Dark Region CL-Y d53,A 4,https://i.imgur.com/zGAZTtq.png,Small Reposing Leviathans,4,Yes,Yes,,,,EE overwrote messages,3,,3,,
18/12/2018 21:34:48,JohnTAss,Mel 22 Sector DB-X d1-46,A 8 A,https://i.imgur.com/Ni3Zbjc.jpg,Small Reposing Leviathans,4,Yes,Yes,,,,EE overwrote,5,,4,,
18/12/2018 21:50:47,JohnTAss,Mel 22 Sector JX-T c3-9,6 A,https://i.imgur.com/O843nKf.png,Small Reposing Leviathans,4,Yes,Yes,,,,EE overwrote,1,,5,,
18/12/2018 22:26:57,JohnTAss,HIP 15889,11 B,https://i.imgur.com/qrdOp5i.png,Small Reposing Leviathans,4,Yes,Yes,HIP 16704,MEL 22 SECTOR JX-T C3-9,MEL 22 SECTOR HH-V D2-37,,1,,4,,
