system,galacticX,galacticY,galacticZ
BUBBLE SECTOR LX-T B3-1,-6568.375,24.6875,-2687.28125
CAVE SECTOR VJ-Q B5-0,-2219.78125,99.6875,-819.5625
FLOALT KU-E D12-218,-5003.96875,-571.125,15335.59375
HIP 23759,359.84375,-385.53125,-718.375
HIP 23957,172.34375,-208.875,-533.71875
IRIS SECTOR SO-Q B5-0,-1400.96875,379.75,-342.9375
JELLYFISH SECTOR JH-V C2-1,808.5,262.46875,-4927.71875
JELLYFISH SECTOR PD-S B4-2,780.40625,239.65625,-4940.40625
PRAI HYPOO KA-E C2,-9258.03125,-429.15625,7915.34375
ROSETTE SECTOR EL-Y D15,2361.03125,-189.34375,-4778.9375
T TAURI,-32.96875,-206.40625,-557.3125
TRAPEZIUM SECTOR XO-Y B1-0,619.75,-400.96875,-1224.3125
WITCH HEAD SECTOR JC-U B3-0,359.4375,-384.9375,-742.65625
