System,USSType,x,y,z,Check
1 i Centauri,$USS_Type_VeryValuableSalvage;,38.469,29.781,40.469,pass
11 Orionis,$USS_Type_NonHuman;,40.15625,-92.9375,-350.9375,pass
110 Herculis,$USS_Type_Salvage;,-48,10.875,38.75,pass
12 d Bootis,$USS_Type_ValuableSalvage;,-19.5,115.813,33.188,pass
12 Trianguli,$USS_Type_Convoy;,-77.156,-76.813,-120.688,pass
12 Trianguli,$USS_Type_DistressSignal;,-77.15625,-76.8125,-120.6875,pass
14 Tauri,$USS_Type_NonHuman;,-65.1875,-184.25,-360.1875,pass
15 Pegasi,$USS_Type_DistressSignal;,-83.625,-30.188,10.844,pass
17 Draconis,$USS_Type_Salvage;,-305.75,272.219,49.5,pass
18 Tauri,$USS_Type_NonHuman;,-90.4375,-157.90625,-366.5625,pass
18 Tauri,$USS_Type_NonHuman;,-90.438,-157.906,-366.563,pass
26 Tauri,$USS_Type_NonHuman;,-49.031,-95.781,-222.063,pass
27 Arietis,$USS_Type_NonHuman;,-96.75,-180,-203.875,pass
27 Arietis,$USS_Type_Salvage;,-96.75,-180,-203.875,pass
29 e Orionis,$USS_Type_Salvage;,73.188,-60.031,-125.688,pass
2MASS J03290964+3122564,$USS_Type_Salvage;,-380.906,-384,-956.719,pass
2MASS J04414489+2301513,$USS_Type_NonHuman;,-26.84375,-119.03125,-439.812,pass
2MASS J04414489+2301513,$USS_Type_Salvage;,-26.84375,-119.03125,-439.812,pass
30 E TAURI,$USS_Type_NonHuman;,-16.28125,-239.96875,-384.65625,pass
32 Nu Arietis,$USS_Type_NonHuman;,-122.406,-188.219,-251.281,pass
35 Arietis,$USS_Type_NonHuman;,-142.438,-163.281,-265.875,pass
36 Psi Cassiopeiae,$USS_Type_WeaponsFire;,-156.156,19.625,-115.313,pass
37 Geminorum,$USS_Type_VeryValuableSalvage;,10.25,12.313,-53.906,pass
37 Xi Bootis,$USS_Type_Salvage;,-4.21875,19.09375,9.8125,pass
39 Arietis,$USS_Type_ValuableSalvage;,-72.188,-76.844,-135.375,pass
40 o Persei,$USS_Type_Salvage;,-357.563,-293.875,-948.688,pass
41 TAURI,$USS_Type_NonHuman;,-84.53125,-125.59375,-392.125,pass
42 n Persei,$USS_Type_Aftermath;,-83.5625,-73.40625,-244.34375,pass
42 n Persei,$USS_Type_NonHuman;,-83.5625,-73.40625,-244.34375,pass
42 n Persei,$USS_Type_NonHuman;,-83.563,-73.406,-244.344,pass
42 n Persei,$USS_Type_WeaponsFire;,-83.5625,-73.40625,-244.34375,pass
42 n Persei,$USS_Type_WeaponsFire;,-83.563,-73.406,-244.344,pass
43 Tauri,$USS_Type_NonHuman;,-25.59375,-108.65625,-261.03125,pass
47 Ceti,$USS_Type_Aftermath;,-14.125,-116.969,-32.531,pass
47 Ceti,$USS_Type_ValuableSalvage;,-14.125,-116.969,-32.531,pass
49 Arietis,$USS_Type_Aftermath;,-74.25,-96.531,-170.969,pass
49 Arietis,$USS_Type_Convoy;,-74.25,-96.531,-170.969,pass
49 Arietis,$USS_Type_NonHuman;,-74.25,-96.531,-170.969,pass
49 Arietis,$USS_Type_ValuableSalvage;,-74.25,-96.531,-170.969,pass
49 Arietis,$USS_Type_WeaponsFire;,-74.25,-96.531,-170.969,pass
49 Arietis,$USS_Type_WeaponsFire;,-74.25,-96.53125,-170.96875,pass
53 Aquarii,$USS_Type_Salvage;,-25.6875,-54.28125,27.125,pass
53 TAURI,$USS_Type_NonHuman;,-22.59375,-90.96875,-253.25,pass
55 Virginis,$USS_Type_VeryValuableSalvage;,70.938,85.5,61.688,pass
59 Arietis,$USS_Type_NonHuman;,-68.875,-91.219,-187.25,pass
59 Arietis,$USS_Type_ValuableSalvage;,-68.875,-91.219,-187.25,pass
59 chi Tauri,$USS_Type_NonHuman;,-39.4375,-81.03125,-276.9375,pass
6 G. Cancri,$USS_Type_DistressSignal;,46.688,36.813,-56.406,pass
6 Pi Scorpii,$USS_Type_ValuableSalvage;,118.09375,196.96875,538.625,pass
60 Arietis,$USS_Type_NonHuman;,-88.21875,-128.96875,-253.9375,pass
60 Arietis,$USS_Type_NonHuman;,-88.219,-128.969,-253.938,pass
61 Cygni,$USS_Type_Aftermath;,-11.219,-1.188,1.406,pass
61 Cygni,$USS_Type_MissionTarget;,-11.219,-1.188,1.406,pass
63 chi Leonis,$USS_Type_WeaponsFire;,45.90625,80.375,-19.1875,pass
63 G. Capricorni,$USS_Type_Aftermath;,-19.188,-44.813,52.531,pass
63 G. Capricorni,$USS_Type_Ceremonial;,-19.188,-44.813,52.531,pass
63 Tau-2 Arietis,$USS_Type_NonHuman;,-73,-154.78125,-267.5625,pass
64 Arietis,$USS_Type_Aftermath;,-57.094,-90.656,-178.344,pass
64 Arietis,$USS_Type_NonHuman;,-57.09375,-90.65625,-178.34375,pass
64 Arietis,$USS_Type_NonHuman;,-57.094,-90.656,-178.344,pass
64 Arietis,$USS_Type_Salvage;,-57.09375,-90.65625,-178.34375,pass
64 Arietis,$USS_Type_Salvage;,-57.094,-90.656,-178.344,pass
64 Arietis,$USS_Type_ValuableSalvage;,-57.094,-90.656,-178.344,pass
64 Arietis,$USS_Type_WeaponsFire;,-57.094,-90.656,-178.344,pass
65 Arietis,$USS_Type_NonHuman;,-70.531,-150.719,-264.094,pass
65 Arietis,$USS_Type_NonHuman;,-70.53125,-150.71875,-264.09375,pass
65 Kappa Tauri,$USS_Type_Salvage;,-12.906,-47.313,-145.938,pass
66 Arietis,$USS_Type_NonHuman;,-50.438,-94.563,-180.813,pass
66 Arietis,$USS_Type_ValuableSalvage;,-50.438,-94.563,-180.813,pass
70 Ophiuchi,$USS_Type_MissionTarget;,-8.219,3.094,14.063,pass
70 Ophiuchi,$USS_Type_Salvage;,-8.219,3.094,14.063,pass
78 Ursae Majoris,$USS_Type_Salvage;,-35.031,72.531,-19.938,pass
78 Ursae Majoris,$USS_Type_WeaponsFire;,-35.031,72.531,-19.938,pass
9 Aurigae,$USS_Type_Aftermath;,-32.75,10.5,-78.563,pass
9 Aurigae,$USS_Type_VeryValuableSalvage;,-32.75,10.5,-78.563,pass
9 Tauri,$USS_Type_NonHuman;,-94.75,-181.25,-374.125,pass
94 Tau Tauri,$USS_Type_NonHuman;,-20.1875,-100.15625,-387.46875,pass
Achenar,$USS_Type_Aftermath;,67.5,-119.46875,24.84375,pass
Achenar,$USS_Type_Aftermath;,67.5,-119.469,24.844,pass
Achenar,$USS_Type_Salvage;,67.5,-119.46875,24.84375,pass
Achenar,$USS_Type_Salvage;,67.5,-119.469,24.844,pass
Achenar,$USS_Type_ValuableSalvage;,67.5,-119.46875,24.84375,pass
Achenar,$USS_Type_ValuableSalvage;,67.5,-119.469,24.844,pass
Achenar,$USS_Type_VeryValuableSalvage;,67.5,-119.46875,24.84375,pass
Achenar,$USS_Type_VeryValuableSalvage;,67.5,-119.469,24.844,pass
Acihaut,$USS_Type_Convoy;,-18.5,25.28125,-4,pass
Ackycha,$USS_Type_Salvage;,-29.031,39.813,-25.031,pass
Adityan,$USS_Type_WeaponsFire;,-80.875,-68.96875,23.03125,pass
Aerial,$USS_Type_WeaponsFire;,100.75,-102.625,8.406,pass
Aerial,$USS_Type_WeaponsFire;,100.75,-102.625,8.40625,pass
Agartha,$USS_Type_Aftermath;,70.719,-123.656,41.313,pass
Agartha,$USS_Type_Ceremonial;,70.719,-123.656,41.313,pass
Agartha,$USS_Type_Convoy;,70.719,-123.656,41.313,pass
Agartha,$USS_Type_Salvage;,70.719,-123.656,41.313,pass
Agartha,$USS_Type_WeaponsFire;,70.719,-123.656,41.313,pass
Agelasta,$USS_Type_Salvage;,45,-12.46875,-9.21875,pass
Ahti,$USS_Type_MissionTarget;,4.063,-79.094,-7.719,pass
Airman Di,$USS_Type_Convoy;,-72.813,-15.656,-115.656,pass
Airsetanoa,$USS_Type_Aftermath;,103.094,-38.813,32.188,pass
Airsetanoa,$USS_Type_Salvage;,103.094,-38.813,32.188,pass
Akhabakti,$USS_Type_Ceremonial;,24.3125,-157.1875,-51.6875,pass
Akhabakti,$USS_Type_Convoy;,24.3125,-157.1875,-51.6875,pass
Akhabakti,$USS_Type_VeryValuableSalvage;,24.3125,-157.1875,-51.6875,pass
Alacagui,$USS_Type_WeaponsFire;,63.65625,-119,17.0625,pass
Alaunus,$USS_Type_Salvage;,-0.656,-52.281,-5.969,pass
Alaunus,$USS_Type_ValuableSalvage;,-0.656,-52.281,-5.969,pass
ALCYONE,$USS_Type_NonHuman;,-82.9375,-156.78125,-362.09375,pass
Alcyone,$USS_Type_NonHuman;,-82.9375,-156.78125,-362.09375,pass
Alcyone,$USS_Type_NonHuman;,-82.938,-156.781,-362.094,pass
Alcyone,$USS_Type_ValuableSalvage;,-82.938,-156.781,-362.094,pass
Algol,$USS_Type_ValuableSalvage;,-45.75,-23.125,-77.406,pass
Alici,$USS_Type_WeaponsFire;,-86.844,-87.969,56.844,pass
Aling,$USS_Type_WeaponsFire;,19.25,-162.656,38,pass
Alioth,$USS_Type_Aftermath;,-33.656,72.469,-20.656,pass
Alioth,$USS_Type_Convoy;,-33.656,72.469,-20.656,pass
Alioth,$USS_Type_Salvage;,-33.656,72.469,-20.656,pass
Alioth,$USS_Type_Salvage;,-33.65625,72.46875,-20.65625,pass
Alioth,$USS_Type_ValuableSalvage;,-33.656,72.469,-20.656,pass
Alioth,$USS_Type_ValuableSalvage;,-33.65625,72.46875,-20.65625,pass
Alioth,$USS_Type_WeaponsFire;,-33.656,72.469,-20.656,pass
Alioth,$USS_Type_WeaponsFire;,-33.65625,72.46875,-20.65625,pass
Alpha Centauri,$USS_Type_Convoy;,3.03125,-0.09375,3.15625,pass
Alpha Centauri,$USS_Type_DistressSignal;,3.031,-0.094,3.156,pass
Alpha Centauri,$USS_Type_MissionTarget;,3.031,-0.094,3.156,pass
Alpha Centauri,$USS_Type_Salvage;,3.031,-0.094,3.156,pass
Alpha Centauri,$USS_Type_ValuableSalvage;,3.031,-0.094,3.156,pass
Alpha Centauri,$USS_Type_ValuableSalvage;,3.03125,-0.09375,3.15625,pass
Alpha Centauri,$USS_Type_WeaponsFire;,3.03125,-0.09375,3.15625,pass
Alrai Sector LH-V b2-7,$USS_Type_ValuableSalvage;,-13.59375,-4.625,63.3125,pass
Altair,$USS_Type_Salvage;,-12.313,-2.75,11,pass
Alya,$USS_Type_Salvage;,-77.28125,-57.4375,30.53125,pass
Alyuto,$USS_Type_Salvage;,-47.25,71,-15.844,pass
Ammatch,$USS_Type_Salvage;,110.344,-124.406,25.313,pass
Amsitia,$USS_Type_Aftermath;,19.438,-170.531,-0.281,pass
Amun,$USS_Type_MissionTarget;,51.563,32.188,-27.125,pass
Amun,$USS_Type_VeryValuableSalvage;,51.563,32.188,-27.125,pass
Anali,$USS_Type_Salvage;,-75.5625,-15.9375,80,pass
Ancate,$USS_Type_ValuableSalvage;,7.8125,-155.6875,43.1875,pass
Ancate,$USS_Type_VeryValuableSalvage;,7.8125,-155.6875,43.1875,pass
Andhrimi,$USS_Type_TradingBeacon;,10.375,-54.40625,18.6875,pass
Andhrimi,$USS_Type_WeaponsFire;,10.375,-54.406,18.688,pass
Anotchadiae,$USS_Type_Aftermath;,72.438,69.563,58.406,pass
Anotchadiae,$USS_Type_MissionTarget;,72.438,69.563,58.406,pass
Any Minurok,$USS_Type_VeryValuableSalvage;,-109.781,-12.063,-124.281,pass
Apadecavi,$USS_Type_Aftermath;,-5.25,5.594,-117.563,pass
Apoyota,$USS_Type_Salvage;,-33.688,-4.344,61.375,pass
Arabari,$USS_Type_Salvage;,-100.3125,-0.65625,-123.21875,pass
Arabari,$USS_Type_ValuableSalvage;,-100.3125,-0.65625,-123.21875,pass
Arapi,$USS_Type_MissionTarget;,60.875,98.781,46.156,pass
Arbuda,$USS_Type_Salvage;,-34.094,26.219,-5.531,pass
Aries Dark Region AG-N b7-1,$USS_Type_NonHuman;,-43.96875,-127.1875,-201.09375,pass
Aries Dark Region AG-N b7-1,$USS_Type_Salvage;,-43.969,-127.188,-201.094,pass
Aries Dark Region AG-N b7-1,$USS_Type_ValuableSalvage;,-43.96875,-127.1875,-201.09375,pass
Aries Dark Region AG-N b7-2,$USS_Type_DistressSignal;,-44.21875,-128.78125,-197.71875,pass
Aries Dark Region AG-N b7-2,$USS_Type_NonHuman;,-44.21875,-128.78125,-197.71875,pass
Aries Dark Region AK-R b4-0,$USS_Type_NonHuman;,-36.28125,-249.5625,-260.5625,pass
Aries Dark Region AQ-Y d14,$USS_Type_NonHuman;,-159.531,-144.25,-268.906,pass
Aries Dark Region AQ-Y d43,$USS_Type_NonHuman;,-153.719,-115.5,-269.156,pass
Aries Dark Region BB-N b7-0,$USS_Type_ValuableSalvage;,-47.8125,-163.90625,-189.46875,pass
Aries Dark Region BB-N b7-1,$USS_Type_ValuableSalvage;,-47.625,-148.65625,-195.375,pass
Aries Dark Region BL-O b6-2,$USS_Type_Salvage;,-59.09375,-204.25,-207.28125,pass
Aries Dark Region BW-M b7-0,$USS_Type_Salvage;,-95.094,-178.219,-197.281,pass
Aries Dark Region CL-Y d14,$USS_Type_NonHuman;,-146.906,-222.563,-300.656,pass
Aries Dark Region CL-Y d14,$USS_Type_NonHuman;,-146.90625,-222.5625,-300.65625,pass
Aries Dark Region DB-N b7-0,$USS_Type_DistressSignal;,-15.9375,-162.65625,-202.53125,pass
Aries Dark Region DB-N b7-0,$USS_Type_Salvage;,-15.9375,-162.65625,-202.53125,pass
Aries Dark Region DB-N b7-0,$USS_Type_ValuableSalvage;,-15.9375,-162.65625,-202.53125,pass
ARIES DARK REGION DB-X D1-63,$USS_Type_NonHuman;,-119.625,-90.84375,-247.03125,pass
Aries Dark Region DB-X d1-64,$USS_Type_NonHuman;,-107.563,-99.906,-239.25,pass
